res_id,name,url,address,city,locality,cuisines,timings,highlights,aggregate_rating,votes,average_cost_for_one
1401478,Shubham Chinese Point,https://www.zomato.com/indore/shubham-chinese-point-mr-10-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Khushboo Avenue, Bapat Square, MR 10 Road, Indore",Indore,MR 10 Road,Chinese,3:30 PM to 11:15 PM,"['Cash', 'Dinner', 'Takeaway Available', 'Outdoor Seating', 'Pure Veg']",3.0,56,50
1400582,Goli Vada Pav No. 1,https://www.zomato.com/indore/goli-vada-pav-no-1-annapurna-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Narendra Tiwari Marg, Opposite Dashahara Maidan, Annapurna road, Indore, Annapurna Road, Indore",Indore,Annapurna Road,"Street Food, Maharashtrian",11 AM to 10:30 PM (Mon-Sun),"['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Outdoor Seating', 'Pure Veg']",3.3,55,50
18776853,Mittal Kachori,https://www.zomato.com/indore/mittal-kachori-malharganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"228 Old/ 302, New MG Road, Malharganj, Indore",Indore,Malharganj,Fast Food,8am – 9pm (Mon-Sun),"['Cash', 'Takeaway Available', 'Delivery', 'Indoor Seating', 'Pure Veg']",3.6,42,50
1400805,Vadilal Ice Cream,https://www.zomato.com/indore/vadilal-ice-cream-sapna-sangeeta?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"87, Sapna Sangeeta, Indore",Indore,Sapna Sangeeta,"Desserts, Ice Cream",1pm – 12midnight (Mon-Sun),"['Delivery', 'Cash', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Desserts and Bakes']",3.4,45,50
1400120,Bombay Bhel,https://www.zomato.com/indore/bombay-bhel-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Ground Floor, Malhar Mega Mall, AB Road, Vijay Nagar, Indore",Indore,"Malhar Mega Mall, Vijay Nagar",Street Food,12:30 PM to 10:30 PM,"['Mall Parking', 'Delivery', 'Cash', 'Takeaway Available', 'Pure Veg']",2.8,28,50
18895401,Guptaji Paratha House,https://www.zomato.com/indore/guptaji-paratha-house-bhawar-kuan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 3, Siddarth Nagar, Bhawar Kuan, Indore",Indore,Bhawar Kuan,North Indian,8:30am – 11:30pm (Mon-Sun),"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Indoor Seating', 'Pure Veg']",3.6,22,50
18718233,Honey Pizza,https://www.zomato.com/indore/honey-pizza-1-sarafa-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"19, Bada Sarafa, In Front of Samerpan Jewellers, Sarafa Bazaar, Indore",Indore,Sarafa Bazaar,"Pizza, Fast Food",9pm – 1:30am (Mon-Sun),"['No Seating Available', 'Cash', 'Dinner', 'Takeaway Available', 'Pure Veg']",2.8,44,50
18876948,Mr. Bhel Bhandari,https://www.zomato.com/indore/mr-bhel-bhandari-malharganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 333, Near Tori Corner, MG Road, Malharganj, Indore",Indore,Malharganj,Street Food,"5 PM to 12:30 AM (Mon), 1 PM to 12:30 AM (Tue-Sun)","['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Digital Payments Accepted', 'Table booking recommended']",3.5,18,50
18877443,Shreenath Fariyali Khichdi,https://www.zomato.com/indore/shreenath-fariyali-khichdi-jail-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"43, Davi Ahiliya Bai, Jail Road, Indore",Indore,Jail Road,North Indian,11 AM to 10 PM,"['Takeaway Available', 'Cash', 'Lunch', 'Delivery', 'Indoor Seating', 'Pure Veg', 'Digital Payments Accepted']",3.0,26,50
18867632,Tea De Pot,https://www.zomato.com/indore/tea-de-pot-ranjeet-hanuman?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 30, Gumashta Nagar, Ranjeet Hanuman, Indore",Indore,Ranjeet Hanuman,"Tea, Coffee",7 AM to 3 AM,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Digital Payments Accepted', 'Pure Veg']",3.6,22,50
18809775,Agrawal Kachori Corner,https://www.zomato.com/indore/agrawal-kachori-corner-kothari-market?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Maharaja Complex, Kothari Market, Indore",Indore,Kothari Market,"Street Food, Fast Food",10:30 AM to 8:30 PM,"['Delivery', 'Lunch', 'Cash', 'No Seating Available', 'Dinner', 'Takeaway Available', 'Pure Veg']",3.8,17,50
1401871,Tanishq Cafe,https://www.zomato.com/indore/tanishq-cafe-old-palasia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"86, Main Classic Square, Shree Nagar Main Road, Old Palasia, Indore",Indore,Old Palasia,Coffee,8 AM to 11 PM (Mon-Sun),"['No Seating Available', 'Cash', 'Takeaway Available', 'Pure Veg']",3.3,28,50
18791329,Shree Mahalaxmi Moong Ke Bhajiye,https://www.zomato.com/indore/shree-mahalaxmi-moong-ke-bhajiye-1-hig-lig?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10/1, D- Part, LIG Square, AB Road, HIG-LIG, Indore",Indore,HIG-LIG,Fast Food,3 PM to 11 PM,"['No Alcohol Available', 'Takeaway Available', 'No Seating Available', 'Cash', 'Pure Veg']",3.5,18,50
18924806,Shree Baba Sweets,https://www.zomato.com/indore/shree-baba-sweets-jail-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"39-40, Devi Ahilya Marg, Jail Road, Indore",Indore,Jail Road,Mithai,9 AM to 12:30 AM,"['Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes', 'Pure Veg']",3.4,29,50
19122644,Dairy Junction,https://www.zomato.com/indore/dairy-junction-1-annapurna-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"792, Usha Nagar Extension, G-3 Ekami akansh, Annapurna Road, Indore",Indore,Annapurna Road,Beverages,8 AM to 11 PM,"['Cash', 'Takeaway Available', 'Indoor Seating']",3.3,11,50
18742397,Ramesh Masala Dosa,https://www.zomato.com/indore/ramesh-masala-dosa-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Meghdoot Garden, Vijay Nagar, Indore",Indore,Vijay Nagar,South Indian,6 PM to 11 PM,"['Dinner', 'Delivery', 'Cash', 'Takeaway Available', 'Pure Veg']",3.4,23,50
